SID,SEASON,NUMBER,BASIN,SUBBASIN,NAME,ISO_TIME,NATURE,LAT,LON,WMO_WIND,WMO_PRES,WMO_AGENCY,TRACK_TYPE,DIST2LAND,LANDFALL,IFLAG,USA_AGENCY,USA_ATCF_ID,USA_LAT,USA_LON,USA_RECORD,USA_STATUS,USA_WIND,USA_PRES,USA_SSHS,USA_R34_NE,USA_R34_SE,USA_R34_SW,USA_R34_NW,USA_R50_NE,USA_R50_SE,USA_R50_SW,USA_R50_NW,USA_R64_NE,USA_R64_SE,USA_R64_SW,USA_R64_NW,USA_POCI,USA_ROCI,USA_RMW,USA_EYE,TOKYO_LAT,TOKYO_LON,TOKYO_GRADE,TOKYO_WIND,TOKYO_PRES,TOKYO_R50_DIR,TOKYO_R50_LONG,TOKYO_R50_SHORT,TOKYO_R30_DIR,TOKYO_R30_LONG,TOKYO_R30_SHORT,TOKYO_LAND,CMA_LAT,CMA_LON,CMA_CAT,CMA_WIND,CMA_PRES,HKO_LAT,HKO_LON,HKO_CAT,HKO_WIND,HKO_PRES,KMA_LAT,KMA_LON,KMA_CAT,KMA_WIND,KMA_PRES,KMA_R50_DIR,KMA_R50_LONG,KMA_R50_SHORT,KMA_R30_DIR,KMA_R30_LONG,KMA_R30_SHORT,NEWDELHI_LAT,NEWDELHI_LON,NEWDELHI_GRADE,NEWDELHI_WIND,NEWDELHI_PRES,NEWDELHI_CI,NEWDELHI_DP,NEWDELHI_POCI,REUNION_LAT,REUNION_LON,REUNION_TYPE,REUNION_WIND,REUNION_PRES,REUNION_TNUM,REUNION_CI,REUNION_RMW,REUNION_R34_NE,REUNION_R34_SE,REUNION_R34_SW,REUNION_R34_NW,REUNION_R50_NE,REUNION_R50_SE,REUNION_R50_SW,REUNION_R50_NW,REUNION_R64_NE,REUNION_R64_SE,REUNION_R64_SW,REUNION_R64_NW,BOM_LAT,BOM_LON,BOM_TYPE,BOM_WIND,BOM_PRES,BOM_TNUM,BOM_CI,BOM_RMW,BOM_R34_NE,BOM_R34_SE,BOM_R34_SW,BOM_R34_NW,BOM_R50_NE,BOM_R50_SE,BOM_R50_SW,BOM_R50_NW,BOM_R64_NE,BOM_R64_SE,BOM_R64_SW,BOM_R64_NW,BOM_ROCI,BOM_POCI,BOM_EYE,BOM_POS_METHOD,BOM_PRES_METHOD,NADI_LAT,NADI_LON,NADI_CAT,NADI_WIND,NADI_PRES,WELLINGTON_LAT,WELLINGTON_LON,WELLINGTON_WIND,WELLINGTON_PRES,DS824_LAT,DS824_LON,DS824_STAGE,DS824_WIND,DS824_PRES,TD9636_LAT,TD9636_LON,TD9636_STAGE,TD9636_WIND,TD9636_PRES,TD9635_LAT,TD9635_LON,TD9635_WIND,TD9635_PRES,TD9635_ROCI,NEUMANN_LAT,NEUMANN_LON,NEUMANN_CLASS,NEUMANN_WIND,NEUMANN_PRES,MLC_LAT,MLC_LON,MLC_CLASS,MLC_WIND,MLC_PRES,USA_GUST,BOM_GUST,BOM_GUST_PER,REUNION_GUST,REUNION_GUST_PER,USA_SEAHGT,USA_SEARAD_NE,USA_SEARAD_SE,USA_SEARAD_SW,USA_SEARAD_NW,STORM_SPEED,STORM_DIR
2018280N18273,2018,95,,GM,MICHAEL,2018-10-09 06:00:00,TS,23.7,-85.8,85,973,hurdat_atl,main,211,211,O______________,hurdat_atl,AL142018,23.7,-85.8, ,HU,85,973,2,170,140,70,140,70,50,30,50,35,30,20,30,1006,240,20, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,100, , , , ,12,150,150,90,210,11,330
2018280N18273,2018,95,,GM,MICHAEL,2018-10-09 09:00:00,TS,24.1,-86.0, , , ,main,256,256,P______________, ,AL142018,24.1,-86.0, ,HU,88,971,2,165,140,70,140,70,50,30,50,33,30,20,30,1006,220,18, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,12,165,150,105,225,10,340
2018280N18273,2018,95,,GM,MICHAEL,2018-10-09 12:00:00,TS,24.6,-86.2,90,968,hurdat_atl,main,308,308,O______________,hurdat_atl,AL142018,24.6,-86.2, ,HU,90,968,2,160,140,70,140,70,50,30,50,30,30,20,30,1005,200,15,25, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,110, , , , ,12,180,150,120,240,10,345
2018280N18273,2018,95,,GM,MICHAEL,2018-10-09 15:00:00,TS,25.1,-86.3, , , ,main,355,355,P______________, ,AL142018,25.1,-86.3, ,HU,95,965,2,160,140,70,140,70,50,30,50,35,30,20,30,1006,205,15, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,12,225,150,135,270,10,350
2018280N18273,2018,95,,GM,MICHAEL,2018-10-09 18:00:00,TS,25.6,-86.4,100,961,hurdat_atl,main,405,404,O______________,hurdat_atl,AL142018,25.6,-86.4, ,HU,100,961,3,160,140,70,140,70,50,30,50,40,30,20,30,1006,210,15, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,130, , , , ,12,270,150,150,300,10,355
2018280N18273,2018,95,,GM,MICHAEL,2018-10-09 21:00:00,TS,26.1,-86.5, , , ,main,409,362,P______________, ,AL142018,26.1,-86.5, ,HU,105,957,3,160,140,70,140,70,55,30,50,40,30,20,30,1006,210,15, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,12,225,165,150,270,10,355
2018280N18273,2018,95,,GM,MICHAEL,2018-10-10 00:00:00,TS,26.6,-86.5,110,952,hurdat_atl,main,362,313,O______________,hurdat_atl,AL142018,26.6,-86.5, ,HU,110,952,3,160,140,70,140,70,60,30,50,40,30,20,30,1005,210,15, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,135, , , , ,12,180,180,150,240,10,355
2018280N18273,2018,95,,GM,MICHAEL,2018-10-10 03:00:00,TS,27.1,-86.6, , , ,main,313,252,P______________, ,AL142018,27.1,-86.6, ,HU,115,949,4,160,140,70,140,75,70,30,50,40,30,20,30,1006,210,15, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,12,180,180,150,240,11,355
2018280N18273,2018,95,,GM,MICHAEL,2018-10-10 06:00:00,TS,27.7,-86.6,120,945,hurdat_atl,main,252,189,O______________,hurdat_atl,AL142018,27.7,-86.6, ,HU,120,945,4,160,140,70,140,80,80,30,50,40,30,20,30,1006,210,15, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,140, , , , ,12,180,180,150,240,12,5
2018280N18273,2018,95,,GM,MICHAEL,2018-10-10 09:00:00,TS,28.4,-86.5, , , ,main,180,117,P______________, ,AL142018,28.4,-86.5, ,HU,123,940,4,155,140,75,130,80,80,35,50,40,33,23,30,1007,210,13, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,12,180,180,180,225,13,10
